Details of Outward Supplies,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Site,GSTIN
Header Details,nan,nan,nan,nan,Invoice Details,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IGST,nan,CGST,nan,SGST/UTGST,nan,CESS,nan,Shipping bill/ Bill of export details,nan,Nature of supply,nan,nan,nan,nan,nan,,
S.No,Ledger,Customer name,GSTIN/UIN,Place of supply,Invoice  number,Tax invoice number,Invoice date,GL Date,Currency,Currency Rate,Invoice value (Foreign),Invoice value (INR),Rate,Taxable value  (Foreign),Taxable value (INR),IGST rate,IGST amount,CGST rate,CGST amount,SGST/UTGST rate,SGST/UTGST amount,Cess rate,Cess amount,Shipping bill/ Bill of export number,Shipping bill/ Bill of export date,Zero Rated Supplies,Nil Rated Supplies,Exempted (Other than Nil rated/non-GST supply),Non GST supply,Type of Export,E-commerce Operator,,
22,‭0138‬,5020 - EATON INDUSTRIAL PRODUCTS PRIVATE LIMITED,29AAACI7539R2ZO,Karnataka,2401382307,nan,2025-02-12 00:00:00,2025-02-14 00:00:00,INR,nan,nan,4759,0,nan,4759,0,0,nan,nan,nan,nan,nan,nan,D0138CR202S11,nan,nan,Yes,nan,nan,SEZ Supplies under LUT,nan,5020.0,29AAACI7539R2ZO
23,‭0138‬,5166 - SOURIAU INDIA PVT,33AAACO2681G1ZO,Tamil Nadu,2401382308,nan,2025-02-12 00:00:00,2025-02-14 00:00:00,INR,nan,nan,17821.54,0.18,nan,15103,0.18,2718.54,nan,nan,nan,nan,nan,nan,D0138CR202S11,nan,nan,nan,nan,nan,SEZ Supplies under LUT,nan,,
24,‭0138‬,3812 - EATON INDUSTRIAL PRODUCTS PVT. LTD,27AAACI7539R1ZT,Maharashtra,2401382309,nan,2025-02-12 00:00:00,2025-02-14 00:00:00,INR,nan,nan,854.32,0.18,nan,724,nan,nan,0.09,65.16,0.09,65.16,nan,nan,D0138CR202S13,nan,nan,nan,nan,nan,SEZ Supplies under LUT,nan,3812.0,27AAACI7539R1ZT
25,‭0138‬,0270 - EATON INDIA INNOVATION CENTER LLP,27AAFFE4333D1ZT,Maharashtra,2401382321,nan,2025-02-24 00:00:00,2025-02-18 00:00:00,INR,nan,nan,1505445,0,nan,1505445,0,0,nan,nan,nan,nan,nan,nan,D0138IT2502A01,nan,nan,Yes,nan,nan,Export LUT sales,nan,270.0,27AAFFE4333D1ZT
26,‭0138‬,0225 - EATON MANAGEMENT SERVICES LLP,27AAGFE3119C1ZW,Maharashtra,2401382322,nan,2025-02-24 00:00:00,2025-02-18 00:00:00,INR,nan,nan,9232.32,0.18,nan,7824,nan,nan,0.09,704.16,0.09,704.16,nan,nan,D0138IT2502A02,nan,nan,nan,nan,nan,Export LUT sales,nan,225.0,27AAGFE3119C1ZW
27,‭0138‬,4488 - EATON POWER QUALITY PRIVATE LIMITED,34AAACC6943R1Z6,Puducherry,2401382323,nan,2025-02-24 00:00:00,2025-02-18 00:00:00,INR,nan,nan,90279.44,0.18,nan,76508,0.18,13771.44,nan,nan,nan,nan,nan,nan,D0138IT2502A04,nan,nan,nan,nan,nan,Export LUT sales,nan,,
28,‭0138‬,2090 - EATON INDUSTRIAL SYSTEMS PRIVATE LIMITED,27AABCE4955C1ZT,Maharashtra,2401382324,nan,2025-02-24 00:00:00,2025-02-18 00:00:00,INR,nan,nan,70083.74,0.18,nan,59393,nan,nan,0.09,5345.37,0.09,5345.37,nan,nan,D0138IT2502A05,nan,nan,nan,nan,nan,Export LUT sales,nan,,
29,‭0138‬,4210 - EATON POWER QUALITY PRIVATE LIMITED,34AAACC6943R1Z6,Puducherry,2401382325,nan,2025-02-24 00:00:00,2025-02-18 00:00:00,INR,nan,nan,232106,0.18,nan,196700,0.18,35406,nan,nan,nan,nan,nan,nan,D0138IT2502A11,nan,nan,nan,nan,nan,Export LUT sales,nan,,
30,‭0138‬,1092 - EATON INDUSTRIAL SYSTEMS PRIVATE LIMITED,27AABCE4955C1ZT,Maharashtra,2401382326,nan,2025-02-24 00:00:00,2025-02-18 00:00:00,INR,nan,nan,50986.62,0.18,nan,43209,nan,nan,0.09,3888.81,0.09,3888.81,nan,nan,D0138IT2502A07,nan,nan,nan,nan,nan,Export LUT sales,nan,,
31,‭0138‬,5166 - SOURIAU INDIA PVT,33AAACO2681G1ZO,Tamil Nadu,2401382327,nan,2025-02-24 00:00:00,2025-02-18 00:00:00,INR,nan,nan,39545.34,0.18,nan,33513,0.18,6032.34,nan,nan,nan,nan,nan,nan,D0138IT2502A12,nan,nan,nan,nan,nan,Export LUT sales,nan,,
32,‭0138‬,7006 - MTL INSTRUMENTS PRIVATE LIMITED,33AAACM2555R1Z6,Tamil Nadu,2401382341,nan,2025-02-24 00:00:00,2025-02-18 00:00:00,INR,nan,nan,77550.78,0.18,nan,65721,0.18,11829.78,nan,nan,nan,nan,nan,nan,D0138IT2502A09,nan,nan,nan,nan,nan,Export LUT sales,nan,4435.0,33AAACM2555R1Z6
34,‭0138‬,0003 - EATON CORPORATION,nan,nan,2401382362,nan,2025-02-20 00:00:00,2025-02-26 00:00:00,USD,86.62,141600,12265392,0,141600,12265392,0,0,nan,nan,nan,nan,nan,nan,E0138SC2502S02,nan,nan,Yes,nan,nan,SEZ Supplies under LUT,nan,,
35,‭0138‬,0003 - EATON CORPORATION,nan,nan,2401382363,nan,2025-02-20 00:00:00,2025-02-26 00:00:00,USD,86.62,30124.71,2609402.38,0,30124.71,2609402.38,0,0,nan,nan,nan,nan,nan,nan,E0138SC2502S02,nan,nan,Yes,nan,nan,SEZ Supplies under LUT,nan,,
36,‭0138‬,0003 - EATON CORPORATION,nan,nan,2401382381,nan,2025-02-26 00:00:00,2025-02-26 00:00:00,USD,86.62,81283,7040733.46,0,81283,7040733.46,0,0,nan,nan,nan,nan,nan,nan,E0138IT2502S01,nan,nan,Yes,nan,nan,SEZ Supplies under LUT,nan,,
37,‭0138‬,"7210 - COOPER BUSSMANN, LLC",nan,nan,2401382401,nan,2025-02-20 00:00:00,2025-02-27 00:00:00,USD,86.62,16520,1430962.4,0,16520,1430962.4,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,nan,nan,Export LUT sales,nan,,
38,‭0138‬,"7203 - SURE POWER, INC",nan,nan,2401382402,nan,2025-02-20 00:00:00,2025-02-27 00:00:00,USD,86.62,14160,1226539.2,0,14160,1226539.2,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,nan,nan,Export LUT sales,nan,,
39,‭0138‬,"7000 - COOPER CROUSE-HINDS, LLC",nan,nan,2401382403,nan,2025-02-20 00:00:00,2025-02-27 00:00:00,USD,86.62,59496,5153543.52,0,59496,5153543.52,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,nan,nan,Export LUT sales,nan,,
40,‭0138‬,0169 - EATON INDUSTRIES MANUFACTURING GMBH_CHF,nan,nan,2401382404,nan,2025-02-20 00:00:00,2025-02-27 00:00:00,USD,86.62,47745,4135671.9,0,47745,4135671.9,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,nan,nan,Export LUT sales,nan,,
41,‭0138‬,0003 - EATON CORPORATION,nan,nan,2401382405,nan,2025-02-20 00:00:00,2025-02-27 00:00:00,USD,86.62,1850843,160320020.66,0,1850843,160320020.66,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,nan,nan,Export LUT sales,nan,,
42,‭0138‬,"7451 - COOPER B-LINE, INC.",nan,nan,2401382406,nan,2025-02-20 00:00:00,2025-02-27 00:00:00,USD,86.62,32804,2841482.48,0,32804,2841482.48,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,nan,nan,Export LUT sales,nan,,
43,‭0138‬,0225 - EATON MANAGEMENT SERVICES LLP,27AAGFE3119C1ZW,Maharashtra,2401382407,nan,2025-02-20 00:00:00,2025-02-20 00:00:00,INR,nan,nan,113634,0.18,nan,96300,nan,nan,0.09,8667,0.09,8667,nan,nan,D0138CR202A01,nan,nan,nan,nan,nan,Export LUT sales,nan,225.0,27AAGFE3119C1ZW
44,‭0138‬,2090 - EATON INDUSTRIAL SYSTEMS PRIVATE LIMITED,27AABCE4955C1ZT,Maharashtra,2401382408,nan,2025-02-20 00:00:00,2025-02-27 00:00:00,INR,nan,nan,7198,0.18,nan,6100,nan,nan,0.09,549,0.09,549,nan,nan,D0138CR202A02,nan,nan,nan,nan,nan,Export LUT sales,nan,,
45,‭0138‬,EATON INDIA FOUNDATION,nan,nan,2401382409,nan,2025-02-20 00:00:00,2025-02-27 00:00:00,INR,nan,nan,14278,0.18,nan,12100,nan,nan,0.09,1089,0.09,1089,nan,nan,D0138CR202A03,nan,nan,nan,nan,nan,Export LUT sales,nan,,
46,‭0138‬,0270 - EATON INDIA INNOVATION CENTER LLP,27AAFFE4333D1ZT,Maharashtra,2401382410,nan,2025-02-20 00:00:00,2025-02-27 00:00:00,INR,nan,nan,249490,0,nan,249490,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,nan,nan,Export LUT sales,nan,270.0,27AAFFE4333D1ZT
47,‭0138‬,2090 - EATON INDUSTRIAL SYSTEMS PRIVATE LIMITED,27AABCE4955C1ZT,Maharashtra,2401382411,nan,2025-02-20 00:00:00,2025-02-27 00:00:00,INR,nan,nan,142354.02,0.18,nan,120639,nan,nan,0.09,10857.51,0.09,10857.51,nan,nan,nan,nan,nan,nan,nan,nan,Export LUT sales,nan,,
48,‭0138‬,7006 - MTL INSTRUMENTS PRIVATE LIMITED,33AAACM2555R1Z6,Tamil Nadu,2401382412,nan,2025-02-20 00:00:00,2025-02-27 00:00:00,INR,nan,nan,243269.98,0.18,nan,206161,0.18,37108.98,nan,nan,nan,nan,nan,nan,D0138SC2412A05,nan,nan,nan,nan,nan,Export LUT sales,nan,4435.0,33AAACM2555R1Z6
49,‭0138‬,"7000 - COOPER CROUSE-HINDS, LLC",nan,nan,2401382421,nan,2025-02-20 00:00:00,2025-02-27 00:00:00,USD,86.62,10266,889240.92,0,10266,889240.92,0,0,nan,nan,nan,nan,nan,nan,E0138SC2412S02,nan,nan,Yes,nan,nan,SEZ Supplies under LUT,nan,,
